Mods count: 318
 
jar name                                                                       | mod id (isMCreator)                      | mixin configs
EnderStorage-1.21.1-2.13.0.191.jar                                             | enderstorage                             | 
epitaphs-1.0.8_neoforge_1.21.1.jar                                             | epitaphs                                 | epitaphs.mixins.json
EuphoriaPatcher-1.6.5-r5.5.1-neoforge.jar                                      | euphoria_patcher                         | euphoria_patcher.mixins.json
exdeorum-3.9.jar                                                               | exdeorum                                 | 
    /META-INF/jarjar/ExDeorum.coremod.jar                                      |                                          | 
exmachinis-deorum-1.21.1-4.0.2.jar                                             | exmachinis                               | 
ExplorersCompass-1.21.1-3.0.3-neoforge.jar                                     | explorerscompass                         | 
extended-industrialization-1.15.6-1.21.1.jar                                   | extended_industrialization               | extended_industrialization.mixins.json
ExtendedAE-1.21-2.2.18-neoforge.jar                                            | extendedae                               | mixins.extendedae.json
    /META-INF/jarjar/ae2wtlib_api-19.2.0.jar                                   | ae2wtlib_api                             | 
ExtendedCrafting-1.21.1-7.0.6.jar                                              | extendedcrafting                         | 
ExtremeReactors2-1.21.1-2.4.24.jar                                             | bigreactors                              | 
ExtremeSoundMuffler-3.51_NeoForge-1.21.jar                                     | extremesoundmuffler                      | extremesoundmuffler.mixins.json
fancymenu_neoforge_3.7.0_MC_1.21.1.jar                                         | fancymenu                                | fancymenu.mixins.json, fancymenu.neoforge.mixins.json
    /META-INF/jarjar/japng-0.5.3.jar                                           |                                          | 
    /META-INF/jarjar/animated-gif-lib-for-java-animated-gif-lib-1.7.jar        |                                          | 
FarmersDelight-1.21.1-1.2.9.jar                                                | farmersdelight                           | farmersdelight.mixins.json
farmingforblockheads-neoforge-1.21.1-21.1.8.jar                                | farmingforblockheads                     | farmingforblockheads.mixins.json, farmingforblockheads.neoforge.mixins.json
FastFurnace-1.21.1-9.0.1.jar                                                   | fastfurnace                              | fastfurnace.mixins.json
fastleafdecay-35.jar                                                           | fastleafdecay                            | 
FastSuite-1.21.1-6.0.5.jar                                                     | fastsuite                                | fastsuite.mixins.json
FastWorkbench-1.21.1-9.1.3.jar                                                 | fastbench                                | fastbench.mixins.json
ferritecore-7.0.2-neoforge.jar                                                 | ferritecore                              | ferritecore.modelsides.mixin.json, ferritecore.mrl.mixin.json, ferritecore.dedupbakedquad.mixin.json, ferritecore.threaddetec.mixin.json, ferritecore.blockstatecache.mixin.json, ferritecore.dedupmultipart.mixin.json, ferritecore.accessors.mixin.json, ferritecore.fastmap.mixin.json, ferritecore.predicates.mixin.json
findme-3.3.3-neoforge.jar                                                      | findme                                   | findme-common.mixins.json
flickerfix-1.21.0.jar                                                          | flickerfix                               | flickerfix.mixins.json
FluxNetworks-1.21.1-8.0.0.jar                                                  | fluxnetworks                             | 
forbidden_arcanus-2.6.1.jar                                                    | forbidden_arcanus                        | forbidden_arcanus.mixins.json
forgified-fabric-api-0.115.6+2.1.1+1.21.1.jar                                  | fabric_api                               | 
    /META-INF/jars/fabric-api-base-0.4.42+d1308ded19.jar                       | fabric_api_base                          | 
    /META-INF/jars/fabric-api-lookup-api-v1-1.6.70+c21168c319.jar              | fabric_api_lookup_api_v1                 | fabric-api-lookup-api-v1.mixins.json
    /META-INF/jars/fabric-biome-api-v1-13.0.31+1e62d33c19.jar                  | fabric_biome_api_v1                      | fabric-biome-api-v1.mixins.json
    /META-INF/jars/fabric-block-api-v1-1.0.22+a6e994cd19.jar                   | fabric_block_api_v1                      | fabric-block-api-v1.mixins.json
    /META-INF/jars/fabric-block-view-api-v2-1.0.11+e9036fd419.jar              | fabric_block_view_api_v2                 | fabric-block-view-api-v2.client.mixins.json, fabric-block-view-api-v2.mixins.json
    /META-INF/jars/fabric-blockrenderlayer-v1-1.1.52+b089b4bd19.jar            | fabric_blockrenderlayer_v1               | fabric-blockrenderlayer-v1.mixins.json
    /META-INF/jars/fabric-client-tags-api-v1-1.1.15+e053909619.jar             | fabric_client_tags_api_v1                | 
    /META-INF/jars/fabric-command-api-v2-2.2.28+36d727be19.jar                 | fabric_command_api_v2                    | fabric-command-api-v2.mixins.json, fabric-command-api-v2.client.mixins.json
    /META-INF/jars/fabric-content-registries-v0-8.0.18+0a0c14ff19.jar          | fabric_content_registries_v0             | fabric-content-registries-v0.mixins.json
    /META-INF/jars/fabric-convention-tags-v1-2.1.4+7f945d5b19.jar              | fabric_convention_tags_v1                | 
    /META-INF/jars/fabric-convention-tags-v2-2.11.0+87e5848019.jar             | fabric_convention_tags_v2                | fabric-convention-tags-api-v2.mixins.json
    /META-INF/jars/fabric-data-attachment-api-v1-1.4.3+58235da019.jar          | fabric_data_attachment_api_v1            | fabric-data-attachment-api-v1.mixins.json, fabric-data-attachment-api-v1.client.mixins.json
    /META-INF/jars/fabric-data-generation-api-v1-20.2.28+2d91a6db19.jar        | fabric_data_generation_api_v1            | fabric-data-generation-api-v1.mixins.json
    /META-INF/jars/fabric-entity-events-v1-1.7.0+1af6e62419.jar                | fabric_entity_events_v1                  | fabric-entity-events-v1.mixins.json
    /META-INF/jars/fabric-events-interaction-v0-0.7.13+7b71cc1619.jar          | fabric_events_interaction_v0             | fabric-events-interaction-v0.mixins.json, fabric-events-interaction-v0.client.mixins.json
    /META-INF/jars/fabric-game-rule-api-v1-1.0.53+36d727be19.jar               | fabric_game_rule_api_v1                  | fabric-game-rule-api-v1.mixins.json, fabric-game-rule-api-v1.client.mixins.json
